Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term London Grove Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term E Marlborough Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term E Marlborough Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Penn Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Penn Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Pennsbury Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Pennsbury Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Upper Uwchlan Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Upper Uwchlan Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term Wallace Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term Wallace Township,Republican,Municipal,1,2,
Auditor Unexpired 2 Year Term,DEM Auditor Unexpired 2 Year Term E Whiteland Township,Democratic,Municipal,1,2,
Auditor Unexpired 2 Year Term,REP Auditor Unexpired 2 Year Term E Whiteland Township,Republican,Municipal,1,2,
Member of Council,DEM Member of Council Spring City Borough,Democratic,Municipal,4,4,
Member of Council,REP Member of Council Spring City Borough,Republican,Municipal,4,4,
Member of Council,DEM Member of Council Atglen Borough,Democratic,Municipal,3,4,
Member of Council,REP Member of Council Atglen Borough,Republican,Municipal,3,4,
Member of Council,DEM Member of Council Coatesville 4th Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Coatesville 4th Ward,Republican,Ward,1,4,
Member of Council Unexpired 2 Year Term,DEM Member of Council Unexpired 2 Year Term W Grove Borough,Democratic,Municipal,1,2,
Member of Council Unexpired 2 Year Term,REP Member of Council Unexpired 2 Year Term W Grove Borough,Republican,Municipal,1,2,
Mayor,DEM Mayor Atglen Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Atglen Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Modena Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Modena Borough,Republican,Municipal,1,4,
Township Supervisor Unexpired 4 Year Term,DEM Township Supervisor Unexpired 4 Year Term Thornbury Township,Democratic,Municipal,1,4,
Township Supervisor Unexpired 4 Year Term,REP Township Supervisor Unexpired 4 Year Term Thornbury Township,Republican,Municipal,1,4,
Township Supervisor Unexpired 2 Year Term,DEM Township Supervisor Unexpired 2 Year Term W Sadsbury Township,Democratic,Municipal,1,2,
Township Supervisor Unexpired 2 Year Term,REP Township Supervisor Unexpired 2 Year Term W Sadsbury Township,Republican,Municipal,1,2,
Tax Collector,DEM Tax Collector Atglen Borough,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Atglen Borough,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Birmingham Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Birmingham Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Caln Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Caln Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector East Caln Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector East Caln Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector West Caln Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector West Caln Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Charlestown Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Charlestown Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector S Coatesville Borough,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector S Coatesville Borough,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Elverson Borough,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Elverson Borough,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector E Fallowfield Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector E Fallowfield Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector E Goshen Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector E Goshen Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Honey Brook Borough,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Honey Brook Borough,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Honey Brook Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Honey Brook Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Kennett Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Kennett Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector London Britain Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector London Britain Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Londonderry Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Londonderry Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector London Grove Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector London Grove Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Modena Borough,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Modena Borough,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector New Garden Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector New Garden Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector New London Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector New London Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Newlin Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Newlin Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector E Nottingham Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector E Nottingham Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Lower Oxford Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Lower Oxford Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Upper Oxford Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Upper Oxford Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Parkesburg Borough,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Parkesburg Borough,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Pennsbury Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Pennsbury Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector E Pikeland Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector E Pikeland Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector W Pikeland Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector W Pikeland Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Pocopson Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Pocopson Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Sadsbury Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Sadsbury Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector W Sadsbury Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector W Sadsbury Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Valley Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Valley Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector E Vincent Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector E Vincent Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Wallace Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Wallace Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Warwick Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Warwick Township,Republican,Municipal,1,4,
Tax Collector,DEM Tax Collector Westtown Township,Democratic,Municipal,1,4,
Tax Collector,REP Tax Collector Westtown Township,Republican,Municipal,1,4,
Judge of Elections,DEM Judge of Elections 005 Atglen,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 005 Atglen,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 020 E Bradford N-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 020 E Bradford N-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 021 E Bradford N-2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 021 E Bradford N-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 031 W Bradford 3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 031 W Bradford 3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 033 W Bradford 5,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 033 W Bradford 5,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 035 E Brandywine N-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 035 E Brandywine N-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 036 E Brandywine N-2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 036 E Brandywine N-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 040 W Brandywine E-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 040 W Brandywine E-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 045 Caln 1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 045 Caln 1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 050 Caln 2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 050 Caln 2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 055 East Caln 1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 055 East Caln 1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 056 East Caln 2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 056 East Caln 2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 061 West Caln 2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 061 West Caln 2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 070 Coatesville 1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 070 Coatesville 1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 080 Coatesville 2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 080 Coatesville 2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 100 Coatesville 4-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 100 Coatesville 4-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 110 Coatesville 4-2,Democratic,Local,1,4,
