Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Susan Still Elks,REP School Director Unionville Chadds Ford Region A,2,4,2
"Jim Ash, Jr.",REP School Director Unionville Chadds Ford Region B,2,4,1
Sandra Litvin,REP School Director Unionville Chadds Ford Region B,2,4,2
Steven G. Simonson,REP School Director Unionville Chadds Ford Region B,2,4,3
Beth Campbell,REP School Director West Chester Region 3,2,4,1
Ashley Padula,REP School Director West Chester Region 3,2,4,2
Katie Leonard,DEM School Director Avon Grove Region 2,1,4,1
Bill Wood,DEM School Director Avon Grove Region 3,1,4,1
Steven Wilson,DEM School Director Coatesville Region 1,1,4,1
Madhu Gurthy,DEM School Director Downingtown Region 2,1,4,1
Margie Miller,DEM School Director Downingtown Region 4,1,4,1
Erin Todorovac,DEM School Director Downingtown Region 4,1,4,2
Diane Houser,DEM School Director Downingtown Region 6,1,4,1
LeeAnn Wisdom,DEM School Director Downingtown Region 6,1,4,2
Peter K. Witzleb,DEM School Director Downingtown Region 8,1,4,1
Mindy Ross,DEM School Director Downingtown Region 8,1,4,2
Lorie Sollenberger,DEM School Director Great Valley Region 2,1,4,1
Justin J. Pak,DEM School Director Great Valley Region 3,1,4,1
Tricia Bliven-Chasinoff,DEM School Director Great Valley Region 3,1,4,2
Ann Parry,DEM School Director Kennett Consolidated Region A,1,4,1
Jamie Blevins Raign,DEM School Director Kennett Consolidated Region B,1,4,1
Andrew Peters,DEM School Director Oxford Region 1,1,4,1
Mary Higgins,DEM School Director Oxford Region 2,1,4,1
David Trimble,DEM School Director Oxford Region 3,1,4,1
Yami Fernández,DEM School Director Oxford Region 3,1,4,2
Nicole Scherer,DEM School Director Tredyffrin Easttown Region 1,1,4,1
Eric Marturano,DEM School Director Tredyffrin Easttown Region 1,1,4,2
Robert Singh,DEM School Director Tredyffrin Easttown Region 2,1,4,1
Juliet Cordeiro,DEM School Director Tredyffrin Easttown Region 2,1,4,2
Gary R. McEwen,DEM School Director Twin Valley Region 3,1,4,1
Jewell Parkinson,DEM School Director West Chester Region 1,1,4,1
Karen Fleming,DEM School Director West Chester Region 2,1,4,1
Katie Leonard,REP School Director Avon Grove Region 2,1,4,1
Stephen Sheppleman,REP School Director Avon Grove Region 2,1,4,2
Bill Wood,REP School Director Avon Grove Region 3,1,4,1
Jules Quartapella,REP School Director Avon Grove Region 3,1,4,2
Madhu Gurthy,REP School Director Downingtown Region 2,1,4,1
Erin Todorovac,REP School Director Downingtown Region 4,1,4,1
Margie Miller,REP School Director Downingtown Region 4,1,4,2
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Diane Houser,REP School Director Downingtown Region 6,1,4,1
LeeAnn Wisdom,REP School Director Downingtown Region 6,1,4,2
