Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Deborah C. Vanrenterghem,DEM Tax Collector W Marlborough Township,1,4,1
Stephen S. Przyuski,DEM Tax Collector W Vincent Township,1,4,1
Arati Joshi,DEM Tax Collector W Whiteland Township,1,4,1
Vanessa Babinecz,DEM Tax Collector Willistown Township,1,4,1
Scott Riedinger,REP Tax Collector E Bradford Township,1,4,1
Dennis Mulhern,REP Tax Collector E Brandywine Township,1,4,1
Missy King,REP Tax Collector E Coventry Township,1,4,1
Zachery Haskins,REP Tax Collector E Coventry Township,1,4,2
Alison Mallamo,REP Tax Collector E Nantmeal Township,1,4,1
Betsy Blackburn-Goslin,REP Tax Collector E Whiteland Township,1,4,1
Diane Corcoran,REP Tax Collector Elk Township,1,4,1
Mark Zawada,REP Tax Collector Franklin Township,1,4,1
Mary Windle McKee,REP Tax Collector Highland Township,1,4,1
Nance Sparks,REP Tax Collector N Coventry Township,1,4,1
"Curtis Mason, Jr.",REP Tax Collector Penn Township,1,4,1
Todd Artz,REP Tax Collector S Coventry Township,1,4,1
Aaron M. Kern,REP Tax Collector Schuylkill Township,1,4,1
Darlene Matsinger,REP Tax Collector Spring City Borough,1,4,1
Audrey E. Hudak,REP Tax Collector Thornbury Township,1,4,1
Douglas Simpson,REP Tax Collector Uwchlan Township,1,4,1
John J. Bossong III,REP Tax Collector W Bradford Township,1,4,1
Edward Pristernik,REP Tax Collector W Brandywine Township,1,4,1
Deborah M. Kolpak,REP Tax Collector W Nantmeal Township,1,4,1
Hannah Rush,REP Tax Collector W Nottingham Township,1,4,1
Shira Lee Barkon,REP Tax Collector Willistown Township,1,4,1
Louise Cleveland,DEM Judge of Elections 010 Avondale,1,4,1
Beth Simpson,DEM Judge of Elections 014 Birmingham 1,1,4,1
Chuck Linn,DEM Judge of Elections 023 E Bradford S-1,1,4,1
Joanne C. Hill,DEM Judge of Elections 030 W Bradford 2,1,4,1
Mac Dolton,DEM Judge of Elections 032 W Bradford 4,1,4,1
Alexander Wood,DEM Judge of Elections 038 E Brandywine S,1,4,1
Kristen Kanze,DEM Judge of Elections 053 Caln 3,1,4,1
Cheryl Spaulding,DEM Judge of Elections 054 Caln 4,1,4,1
Michael Schray,DEM Judge of Elections 060 West Caln 1,1,4,1
Karen I. Woodall,DEM Judge of Elections 090 Coatesville 3,1,4,1
Linda Snyder,DEM Judge of Elections 156 N Coventry W-2,1,4,1
Lisa Marie Yoest,DEM Judge of Elections 170 S Coventry,1,4,1
Michele S. Smith,DEM Judge of Elections 190 W Downingtown S,1,4,1
Donald Raible,DEM Judge of Elections 198 Easttown 2,1,4,1
Mariga Temple-West,DEM Judge of Elections 204 Easttown 4,1,4,1
Donald B. Cheetham III,DEM Judge of Elections 207 Easttown 5,1,4,1
John Juzbasich,DEM Judge of Elections 213 Easttown 7,1,4,1
Kurt Werner,DEM Judge of Elections 220 Elverson,1,4,1
Kelly Markus,DEM Judge of Elections 247 E Goshen 5,1,4,1
Barbara Downing,DEM Judge of Elections 248 E Goshen 6,1,4,1
John Young,DEM Judge of Elections 255 W Goshen N-1,1,4,1
Nancy Heiden,DEM Judge of Elections 260 W Goshen N-2,1,4,1
Jim Duey,DEM Judge of Elections 275 W Goshen S-1,1,4,1
Anne Marie McCullough,DEM Judge of Elections 280 W Goshen S-2,1,4,1
Pamela Scott,DEM Judge of Elections 320 Kennett Township 1,1,4,1
Joëlle Cutrona,DEM Judge of Elections 325 Kennett Township 2,1,4,1
Steven C. Freilich,DEM Judge of Elections 329 Kennett Township 4,1,4,1
April Schmitt,DEM Judge of Elections 330 London Britain,1,4,1
Hugo Schmitt,DEM Judge of Elections 350 Malvern,1,4,1
Thomas Herman,DEM Judge of Elections 365 W Marlborough,1,4,1
Steven P. Dooley,DEM Judge of Elections 385 New Garden N,1,4,1
Peggy Bell-Cole,DEM Judge of Elections 395 New London,1,4,1
Amber Buller,DEM Judge of Elections 400 Newlin,1,4,1
Susan Safford,DEM Judge of Elections 406 E Nottingham W,1,4,1
Etha McDowell,DEM Judge of Elections 420 Oxford W,1,4,1
Beth MacMillan,DEM Judge of Elections 425 Lower Oxford E,1,4,1
Mary Boohar,DEM Judge of Elections 430 Lower Oxford W,1,4,1
Vicki Dash-Slesinski,DEM Judge of Elections 450 Penn,1,4,1
Andre Calilhanna,DEM Judge of Elections 520 E Pikeland 2,1,4,1
Michael Lese,DEM Judge of Elections 550 Schuylkill 1,1,4,1
Janine McVeigh,DEM Judge of Elections 558 Schuylkill 4,1,4,1
Trista Hoffman,DEM Judge of Elections 581 Thornbury 2,1,4,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Richard Keenan,DEM Judge of Elections 590 Tredyffrin E-2,1,4,1
Samuel H. Becker,DEM Judge of Elections 595 Tredyffrin E-3,1,4,1
Roy D. Wolgin,DEM Judge of Elections 600 Tredyffrin E-4,1,4,1
George Elser,DEM Judge of Elections 605 Tredyffrin E-5,1,4,1
Reva Raghupathi,DEM Judge of Elections 614 Tredyffrin M-1,1,4,1
Laura Connell Pyott,DEM Judge of Elections 615 Tredyffrin M-2,1,4,1
Ellen Rinaldi,DEM Judge of Elections 616 Tredyffrin M-3,1,4,1
Elizabeth Luminais,DEM Judge of Elections 618 Tredyffrin M-5,1,4,1
James D. Hilly,DEM Judge of Elections 619 Tredyffrin M-6,1,4,1
Carol I. Clarke,DEM Judge of Elections 630 Tredyffrin W-1,1,4,1
Teresa Zink,DEM Judge of Elections 635 Tredyffrin W-2,1,4,1
Anna K. Neuman,DEM Judge of Elections 640 Tredyffrin W-3,1,4,1
Ingrid Cantarella-Fox,DEM Judge of Elections 647 Tredyffrin W-5,1,4,1
Katherine Carpenter,DEM Judge of Elections 653 Uwchlan 1,1,4,1
Gretchen H. Grant,DEM Judge of Elections 654 Uwchlan 2,1,4,1
Barbara A. Nicholson,DEM Judge of Elections 656 Uwchlan 4,1,4,1
Douglas A. Ditillo,DEM Judge of Elections 658 Uwchlan 6,1,4,1
Ben Greisler,DEM Judge of Elections 661 Uwchlan 9,1,4,1
Jacque Brooks,DEM Judge of Elections 666 Upper Uwchlan 2,1,4,1
Elizabeth Bradley,DEM Judge of Elections 667 Upper Uwchlan 3,1,4,1
Cindy E. Ramsey,DEM Judge of Elections 680 E Vincent 1,1,4,1
Brian Polilli,DEM Judge of Elections 682 E Vincent 3,1,4,1
Heidi Bonner,DEM Judge of Elections 690 W Vincent 1,1,4,1
Dorothy Lynn,DEM Judge of Elections 693 W Vincent 2,1,4,1
Jeanine Quinn,DEM Judge of Elections 710 West Grove 1,1,4,1
Darren Remsburg,DEM Judge of Elections 715 West Grove 2,1,4,1
Patricia Ryan Platt,DEM Judge of Elections 733 Westtown 4,1,4,1
Kevin L. McGovern,DEM Judge of Elections 750 E Whiteland 4,1,4,1
Paul Lahm,DEM Judge of Elections 759 W Whiteland 1,1,4,1
Teri M. McCandless,DEM Judge of Elections 762 W Whiteland 4,1,4,1
Ellen N. O'Shea,DEM Judge of Elections 775 Willistown N-2,1,4,1
Kevin Dellaria,DEM Judge of Elections 780 Willistown N-3,1,4,1
Evan Bradley,DEM Judge of Elections 785 Willistown N-4,1,4,1
A. David Frank,DEM Judge of Elections 800 Willistown S-1,1,4,1
Adrian Castelli,DEM Judge of Elections 805 Willistown S-2,1,4,1
Steven D. Pfander,DEM Judge of Elections 806 Willistown S-3,1,4,1
Deborah Jaworski,DEM Judge of Elections 810 West Chester 1,1,4,1
George Lathbury,DEM Judge of Elections 842 West Chester 4,1,4,1
Lisa Bice,DEM Judge of Elections 860 West Chester 7,1,4,1
Patricia Kelly,REP Judge of Elections 014 Birmingham 1,1,4,1
James Kershaw,REP Judge of Elections 015 Birmingham 2,1,4,1
Ronald Costagliola,REP Judge of Elections 024 E Bradford S-2,1,4,1
Daryl Campbell,REP Judge of Elections 025 W Bradford 1,1,4,1
Hugh Redditt,REP Judge of Elections 041 W Brandywine E-2,1,4,1
Carolyn Dunn,REP Judge of Elections 043 W Brandywine W,1,4,1
Robert L. Luebbers,REP Judge of Elections 053 Caln 3,1,4,1
Fran Cantwell,REP Judge of Elections 065 Charlestown,1,4,1
Rebecca Elliott,REP Judge of Elections 160 E Coventry 1,1,4,1
Rebecca McCreary,REP Judge of Elections 170 S Coventry,1,4,1
Michelle Kennedy,REP Judge of Elections 195 Easttown 1,1,4,1
Marilyn Sprague,REP Judge of Elections 204 Easttown 4,1,4,1
Keave Slomine,REP Judge of Elections 213 Easttown 7,1,4,1
Rich Orpneck,REP Judge of Elections 215 Elk,1,4,1
Clair Swenson,REP Judge of Elections 240 Franklin,1,4,1
Jane Joyce,REP Judge of Elections 243 E Goshen 1,1,4,1
Mary Anne Lipton,REP Judge of Elections 244 E Goshen 2,1,4,1
Richard McIntyre,REP Judge of Elections 245 E Goshen 3,1,4,1
"Benny B. Ellis, Sr.",REP Judge of Elections 247 E Goshen 5,1,4,1
Ralph DiRado,REP Judge of Elections 250 E Goshen 8,1,4,1
Joseph J. Dulka,REP Judge of Elections 261 W Goshen N-3,1,4,1
Scott Beckert,REP Judge of Elections 262 W Goshen N-4,1,4,1
Sue Rice,REP Judge of Elections 285 W Goshen S-3,1,4,1
James Thomas,REP Judge of Elections 290 Highland,1,4,1
Alexis Adams,REP Judge of Elections 295 Honey Brook Borough,1,4,1
Jaffrey S. Clark,REP Judge of Elections 300 Honey Brook Township 1,1,4,1
Sandra Botson,REP Judge of Elections 301 Honey Brook Township 2,1,4,1
Rosanne Keane,REP Judge of Elections 325 Kennett Township 2,1,4,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Cathy Burkett,REP Judge of Elections 329 Kennett Township 4,1,4,1
James R Jones III,REP Judge of Elections 330 London Britain,1,4,1
Nancy R. Toner,REP Judge of Elections 335 Londonderry,1,4,1
Victoria E. Lilley,REP Judge of Elections 340 London Grove Ch,1,4,1
Jessica Hagen,REP Judge of Elections 375 E Nantmeal,1,4,1
Kathleen O'Neill,REP Judge of Elections 380 W Nantmeal,1,4,1
Paul J. Smith,REP Judge of Elections 405 E Nottingham E,1,4,1
"Thomas E. Ferro, Jr.",REP Judge of Elections 406 E Nottingham W,1,4,1
Robert A. Russell,REP Judge of Elections 410 W Nottingham,1,4,1
Henry T. Wilson,REP Judge of Elections 430 Lower Oxford W,1,4,1
Susan G. Hancock,REP Judge of Elections 435 Upper Oxford,1,4,1
"David Hummel, Jr.",REP Judge of Elections 450 Penn,1,4,1
Jim Ozimek,REP Judge of Elections 456 Pennsbury S-1,1,4,1
Tena L. Taylor,REP Judge of Elections 457 Pennsbury S-2,1,4,1
Paul G. Celentano,REP Judge of Elections 478 Phoenixville W-2,1,4,1
Bernadette Pogozelski,REP Judge of Elections 515 E Pikeland 1,1,4,1
Zachary J. Kravitz,REP Judge of Elections 521 E Pikeland 3,1,4,1
Larry Etherton,REP Judge of Elections 525 W Pikeland,1,4,1
Charlotte Townsend,REP Judge of Elections 535 Sadsbury N,1,4,1
Gail Holmes,REP Judge of Elections 545 W Sadsbury,1,4,1
Michael McFadden,REP Judge of Elections 645 Tredyffrin W-4,1,4,1
Elkins Wetherill,REP Judge of Elections 655 Uwchlan 3,1,4,1
Lynda Scheerer,REP Judge of Elections 659 Uwchlan 7,1,4,1
Peter G. Egan,REP Judge of Elections 665 Upper Uwchlan 1,1,4,1
Kerwin Barden,REP Judge of Elections 666 Upper Uwchlan 2,1,4,1
Michael Albaladejo,REP Judge of Elections 670 Valley N-1,1,4,1
Allison F. Roelofs,REP Judge of Elections 671 Valley N-2,1,4,1
Michael Gervasi,REP Judge of Elections 693 W Vincent 2,1,4,1
Merrill Walters,REP Judge of Elections 700 Warwick E,1,4,1
Eric Pizzi,REP Judge of Elections 720 Westtown 1,1,4,1
Coleman Clark,REP Judge of Elections 730 Westtown 3,1,4,1
Shangyan Shane Huang,REP Judge of Elections 735 E Whiteland 1,1,4,1
Robert Fedick,REP Judge of Elections 740 E Whiteland 2,1,4,1
Angeline Cremins,REP Judge of Elections 752 E Whiteland 5,1,4,1
Eric Lamb,REP Judge of Elections 761 W Whiteland 3,1,4,1
Salwa G. Raven,REP Judge of Elections 805 Willistown S-2,1,4,1
Michele Deery-Thomas,REP Judge of Elections 806 Willistown S-3,1,4,1
Sam Page,REP Judge of Elections 846 West Chester 5,1,4,1
Elizabeth Ivey,DEM Inspector of Elections 010 Avondale,1,4,1
Lindsay Roman,DEM Inspector of Elections 015 Birmingham 2,1,4,1
Walter Pflaumer,DEM Inspector of Elections 025 W Bradford 1,1,4,1
William G. Shirley,DEM Inspector of Elections 030 W Bradford 2,1,4,1
Kevin Patrie,DEM Inspector of Elections 041 W Brandywine E-2,1,4,1
Theresa Ceulers,DEM Inspector of Elections 043 W Brandywine W,1,4,1
Deborah Kuhn,DEM Inspector of Elections 065 Charlestown,1,4,1
Anne V. Crew,DEM Inspector of Elections 156 N Coventry W-2,1,4,1
Kimberlee C. Guinan,DEM Inspector of Elections 170 S Coventry,1,4,1
Doris Jones,DEM Inspector of Elections 190 W Downingtown S,1,4,1
Kristine Adams,DEM Inspector of Elections 198 Easttown 2,1,4,1
Deborah A. Dooling,DEM Inspector of Elections 201 Easttown 3,1,4,1
Margaret Dalesandro,DEM Inspector of Elections 204 Easttown 4,1,4,1
Joseph P. Wentz,DEM Inspector of Elections 235 W Fallowfield,1,4,1
Barbara Tilton,DEM Inspector of Elections 240 Franklin,1,4,1
Thomas Arvanites,DEM Inspector of Elections 243 E Goshen 1,1,4,1
Lisa DiGiacomo,DEM Inspector of Elections 247 E Goshen 5,1,4,1
Julieta Calmon,DEM Inspector of Elections 248 E Goshen 6,1,4,1
Lorraine Dilzer,DEM Inspector of Elections 250 E Goshen 8,1,4,1
Kris Ramabadran,DEM Inspector of Elections 255 W Goshen N-1,1,4,1
Karen Moynihan,DEM Inspector of Elections 275 W Goshen S-1,1,4,1
Janet Hutchison,DEM Inspector of Elections 301 Honey Brook Township 2,1,4,1
Linda McKinstry,DEM Inspector of Elections 310 Kennett Square S-1,1,4,1
Lee Shearer,DEM Inspector of Elections 335 Londonderry,1,4,1
Vicki Sharpless,DEM Inspector of Elections 350 Malvern,1,4,1
Michael F. McCarry,DEM Inspector of Elections 356 E Marlborough S,1,4,1
Dylan K. Furlano,DEM Inspector of Elections 356 E Marlborough S,1,4,2
Sandra Nutting,DEM Inspector of Elections 365 W Marlborough,1,4,1
Leslie Gall,DEM Inspector of Elections 375 E Nantmeal,1,4,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
M. Michele Algier,DEM Inspector of Elections 380 W Nantmeal,1,4,1
Sarah J. Dooley,DEM Inspector of Elections 385 New Garden N,1,4,1
James Annett,DEM Inspector of Elections 395 New London,1,4,1
Sandra Thomas,DEM Inspector of Elections 406 E Nottingham W,1,4,1
Diane Williams,DEM Inspector of Elections 410 W Nottingham,1,4,1
Carolyn Hess,DEM Inspector of Elections 420 Oxford W,1,4,1
Virginia King,DEM Inspector of Elections 425 Lower Oxford E,1,4,1
Betsy Cancelmo,DEM Inspector of Elections 430 Lower Oxford W,1,4,1
Blair Fleischmann,DEM Inspector of Elections 435 Upper Oxford,1,4,1
Julia Dooley,DEM Inspector of Elections 450 Penn,1,4,1
Daniel Carper,DEM Inspector of Elections 456 Pennsbury S-1,1,4,1
Michael Moore,DEM Inspector of Elections 457 Pennsbury S-2,1,4,1
Cheryl Fattibene,DEM Inspector of Elections 525 W Pikeland,1,4,1
Rita C. Dieringer,DEM Inspector of Elections 545 W Sadsbury,1,4,1
Dawn M. Hoffman,DEM Inspector of Elections 558 Schuylkill 4,1,4,1
Collin Graff,DEM Inspector of Elections 581 Thornbury 2,1,4,1
Cynthia Hansen,DEM Inspector of Elections 585 Tredyffrin E-1,1,4,1
Eileen C. Brown,DEM Inspector of Elections 590 Tredyffrin E-2,1,4,1
Thomas S. Brown,DEM Inspector of Elections 595 Tredyffrin E-3,1,4,1
Susan Ramee,DEM Inspector of Elections 600 Tredyffrin E-4,1,4,1
Maxwell Young,DEM Inspector of Elections 605 Tredyffrin E-5,1,4,1
Ramesh Raghupathi,DEM Inspector of Elections 614 Tredyffrin M-1,1,4,1
Anastasia Antoniadis,DEM Inspector of Elections 615 Tredyffrin M-2,1,4,1
Mary Frances Harkness,DEM Inspector of Elections 616 Tredyffrin M-3,1,4,1
Caryn Gourley,DEM Inspector of Elections 617 Tredyffrin M-4,1,4,1
Carreen Wright,DEM Inspector of Elections 618 Tredyffrin M-5,1,4,1
Eugene H. Poppel,DEM Inspector of Elections 619 Tredyffrin M-6,1,4,1
Celeste Sparano,DEM Inspector of Elections 630 Tredyffrin W-1,1,4,1
Mollie Sturdevant,DEM Inspector of Elections 635 Tredyffrin W-2,1,4,1
Amy Walk,DEM Inspector of Elections 640 Tredyffrin W-3,1,4,1
Samantha Angelini,DEM Inspector of Elections 645 Tredyffrin W-4,1,4,1
Bindi Shukla,DEM Inspector of Elections 647 Tredyffrin W-5,1,4,1
Katherine Umberger,DEM Inspector of Elections 654 Uwchlan 2,1,4,1
Mitchell L. Thompson,DEM Inspector of Elections 656 Uwchlan 4,1,4,1
Owen N. Davis,DEM Inspector of Elections 658 Uwchlan 6,1,4,1
David Comeau,DEM Inspector of Elections 660 Uwchlan 8,1,4,1
Douglas B. McGillivray,DEM Inspector of Elections 667 Upper Uwchlan 3,1,4,1
Robert H. McDevitt,DEM Inspector of Elections 690 W Vincent 1,1,4,1
Marie Paone,DEM Inspector of Elections 693 W Vincent 2,1,4,1
Carol C. Severance,DEM Inspector of Elections 710 West Grove 1,1,4,1
Francis T. Adams III,DEM Inspector of Elections 720 Westtown 1,1,4,1
Michele M. Howard,DEM Inspector of Elections 745 E Whiteland 3,1,4,1
Kimberly Six,DEM Inspector of Elections 750 E Whiteland 4,1,4,1
Kimberley Ratliff,DEM Inspector of Elections 762 W Whiteland 4,1,4,1
Amee H. Feager,DEM Inspector of Elections 775 Willistown N-2,1,4,1
Laura de la Huerta,DEM Inspector of Elections 785 Willistown N-4,1,4,1
Sandra Young,DEM Inspector of Elections 842 West Chester 4,1,4,1
Calysha F.C. Butcher,DEM Inspector of Elections 850 West Chester 6,1,4,1
Janet J. Satterthwaithe,REP Inspector of Elections 014 Birmingham 1,1,4,1
Jennifer A. Boorse,REP Inspector of Elections 015 Birmingham 2,1,4,1
Barbra Chisena,REP Inspector of Elections 024 E Bradford S-2,1,4,1
Terri-lee Cook,REP Inspector of Elections 032 W Bradford 4,1,4,1
"John J. Harlow, Jr.",REP Inspector of Elections 038 E Brandywine S,1,4,1
Ben LaGarde,REP Inspector of Elections 040 W Brandywine E-1,1,4,1
Laura O. Luebbers,REP Inspector of Elections 053 Caln 3,1,4,1
Becky Ekins,REP Inspector of Elections 060 West Caln 1,1,4,1
Rebecca O'Donnell,REP Inspector of Elections 065 Charlestown,1,4,1
Elizabeth Cavanaugh-Kerr,REP Inspector of Elections 204 Easttown 4,1,4,1
Karen Dobson,REP Inspector of Elections 215 Elk,1,4,1
Wendy Walsh,REP Inspector of Elections 220 Elverson,1,4,1
George J. Zajdel,REP Inspector of Elections 225 E Fallowfield E,1,4,1
Barbara Stecher,REP Inspector of Elections 240 Franklin,1,4,1
"Anthony DiFlavis, Jr.",REP Inspector of Elections 243 E Goshen 1,1,4,1
Debra Arvanites,REP Inspector of Elections 243 E Goshen 1,1,4,2
Gerald G. Francis,REP Inspector of Elections 247 E Goshen 5,1,4,1
Joan Fredricks,REP Inspector of Elections 248 E Goshen 6,1,4,1
Cecelia Reihl,REP Inspector of Elections 250 E Goshen 8,1,4,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Renee P. Mattie,REP Inspector of Elections 255 W Goshen N-1,1,4,1
Carolyn Stewart,REP Inspector of Elections 261 W Goshen N-3,1,4,1
Edward Minka,REP Inspector of Elections 261 W Goshen N-3,1,4,2
Carol Lantz,REP Inspector of Elections 290 Highland,1,4,1
Maureen McHugh,REP Inspector of Elections 300 Honey Brook Township 1,1,4,1
Margaretmary Sommar,REP Inspector of Elections 301 Honey Brook Township 2,1,4,1
Regina Falco,REP Inspector of Elections 320 Kennett Township 1,1,4,1
"Michael Keane, Jr.",REP Inspector of Elections 325 Kennett Township 2,1,4,1
Suzana Lucas,REP Inspector of Elections 329 Kennett Township 4,1,4,1
Charles Beatty,REP Inspector of Elections 330 London Britain,1,4,1
Fred Mannis,REP Inspector of Elections 350 Malvern,1,4,1
Lindsay Yates,REP Inspector of Elections 355 E Marlborough E,1,4,1
Diane Toler,REP Inspector of Elections 375 E Nantmeal,1,4,1
Suzanne Palma,REP Inspector of Elections 391 New Garden S-2,1,4,1
Mary Watson,REP Inspector of Elections 405 E Nottingham E,1,4,1
Bill Arrowood,REP Inspector of Elections 405 E Nottingham E,1,4,2
Sheryl A. Hawk,REP Inspector of Elections 406 E Nottingham W,1,4,1
Ken Antes,REP Inspector of Elections 410 W Nottingham,1,4,1
J. Dwight Myers,REP Inspector of Elections 425 Lower Oxford E,1,4,1
Jeneve Pike,REP Inspector of Elections 435 Upper Oxford,1,4,1
Sharon Doyle,REP Inspector of Elections 450 Penn,1,4,1
Yvonne L. Antonucci,REP Inspector of Elections 456 Pennsbury S-1,1,4,1
Colleen Fusetti,REP Inspector of Elections 521 E Pikeland 3,1,4,1
Kim Esposito,REP Inspector of Elections 525 W Pikeland,1,4,1
Linda A. Kowalsky-Moore,REP Inspector of Elections 530 Pocopson,1,4,1
Maureen E. Bitner,REP Inspector of Elections 545 W Sadsbury,1,4,1
Christine Howson,REP Inspector of Elections 558 Schuylkill 4,1,4,1
Lisa Reid Scott,REP Inspector of Elections 560 Spring City 1,1,4,1
Robert T. Williams,REP Inspector of Elections 585 Tredyffrin E-1,1,4,1
"Samuel H. Wrightson, Jr.",REP Inspector of Elections 590 Tredyffrin E-2,1,4,1
Donna Kibbie,REP Inspector of Elections 595 Tredyffrin E-3,1,4,1
Jean L. Cook,REP Inspector of Elections 600 Tredyffrin E-4,1,4,1
Pearl M. Nudy,REP Inspector of Elections 605 Tredyffrin E-5,1,4,1
Susan Snyder,REP Inspector of Elections 618 Tredyffrin M-5,1,4,1
Kathleen Craig,REP Inspector of Elections 619 Tredyffrin M-6,1,4,1
Peter Neumann,REP Inspector of Elections 655 Uwchlan 3,1,4,1
Gabriella Galway,REP Inspector of Elections 656 Uwchlan 4,1,4,1
Roger G. Carlson,REP Inspector of Elections 658 Uwchlan 6,1,4,1
Paul Houser,REP Inspector of Elections 659 Uwchlan 7,1,4,1
Melba J. Matthews,REP Inspector of Elections 661 Uwchlan 9,1,4,1
Eileen Proof,REP Inspector of Elections 665 Upper Uwchlan 1,1,4,1
Blanche Rene Bauman,REP Inspector of Elections 666 Upper Uwchlan 2,1,4,1
David R. Smith,REP Inspector of Elections 666 Upper Uwchlan 2,1,4,2
Philip J. Giangiulio,REP Inspector of Elections 667 Upper Uwchlan 3,1,4,1
Alicia Paist,REP Inspector of Elections 683 E Vincent 4,1,4,1
Anthony Simonetti,REP Inspector of Elections 690 W Vincent 1,1,4,1
Christopher Fallon,REP Inspector of Elections 700 Warwick E,1,4,1
C. Scott Richards,REP Inspector of Elections 705 Warwick W,1,4,1
"Harry Miller, Jr.",REP Inspector of Elections 720 Westtown 1,1,4,1
Colleen Lolly DiMaio,REP Inspector of Elections 730 Westtown 3,1,4,1
Linda D. Nave,REP Inspector of Elections 733 Westtown 4,1,4,1
Bev Smith,REP Inspector of Elections 754 E Whiteland 6,1,4,1
Elizabeth Lamb,REP Inspector of Elections 761 W Whiteland 3,1,4,1
Cynthia Murphy,REP Inspector of Elections 762 W Whiteland 4,1,4,1
Sundae Hneleski,REP Inspector of Elections 775 Willistown N-2,1,4,1
Susanne C. Harrigan,REP Inspector of Elections 806 Willistown S-3,1,4,1
Christine Facciolli,REP Inspector of Elections 842 West Chester 4,1,4,1
