Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
School Director,REP School Director Tredyffrin Easttown Region 2,Republican,School Director,1,4,
School Director,DEM School Director Twin Valley Region 3,Democratic,School Director,1,4,
School Director,REP School Director Twin Valley Region 3,Republican,School Director,1,4,
School Director,DEM School Director West Chester Region 1,Democratic,School Director,1,4,
School Director,REP School Director West Chester Region 1,Republican,School Director,1,4,
School Director,DEM School Director West Chester Region 2,Democratic,School Director,1,4,
School Director,REP School Director West Chester Region 2,Republican,School Director,1,4,
School Director Unexpired 2 Year Term,DEM School Director Unexpired 2 Year Term Coatesville Region 2,Democratic,School Director,1,2,
School Director Unexpired 2 Year Term,REP School Director Unexpired 2 Year Term Coatesville Region 2,Republican,School Director,1,2,
School Director Unexpired 2 Year Term,DEM School Director Unexpired 2 Year Term Octorara Region 1,Democratic,School Director,1,2,
School Director Unexpired 2 Year Term,REP School Director Unexpired 2 Year Term Octorara Region 1,Republican,School Director,1,2,
School Director Unexpired 2 Year Term,DEM School Director Unexpired 2 Year Term Oxford Region 2,Democratic,School Director,1,2,
School Director Unexpired 2 Year Term,REP School Director Unexpired 2 Year Term Oxford Region 2,Republican,School Director,1,2,
Auditor,DEM Auditor Schuylkill Township,Democratic,Municipal,2,6,
Auditor,REP Auditor Schuylkill Township,Republican,Municipal,2,6,
Auditor,DEM Auditor Birmingham Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Birmingham Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Bradford Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Bradford Township,Republican,Municipal,1,6,
"CHESTER COUNTY, PENNSYLVANIA
UNOFFICIAL LIST OF OFFICES
MAY 20, 2025 Municipal Primary",,,,,,
Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Auditor,DEM Auditor W Bradford Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Bradford Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Brandywine Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Brandywine Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Brandywine Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Brandywine Township,Republican,Municipal,1,6,
Auditor,DEM Auditor East Caln Township,Democratic,Municipal,1,6,
Auditor,REP Auditor East Caln Township,Republican,Municipal,1,6,
Auditor,DEM Auditor West Caln Township,Democratic,Municipal,1,6,
Auditor,REP Auditor West Caln Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Charlestown Township,Democratic,Municipal,1,6,
