municipality_name,Party_1_Count,Party_2_Count,Party_3_Count,Party_4_Count,Party_5_Count,Party_6_Count,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6,Total,Party_1_Percentage,Party_2_Percentage,Party_3_Percentage,Party_4_Percentage,Party_5_Percentage,Party_6_Percentage
NEW LONDON,1469,2215,3,28,899,0,DEM,REP,GR,LIB,OTH,,4614,31.84,48.01,0.07,0.61,19.48,0.0
NEWLIN,422,520,2,6,199,0,DEM,REP,GR,LIB,OTH,,1149,36.73,45.26,0.17,0.52,17.32,0.0
NORTH COVENTRY,2199,2787,6,51,1013,0,DEM,REP,GR,LIB,OTH,,6056,36.31,46.02,0.1,0.84,16.73,0.0
OXFORD,1266,1216,1,17,583,0,DEM,REP,GR,LIB,OTH,,3083,41.06,39.44,0.03,0.55,18.91,0.0
PARKESBURG,1027,924,3,24,459,0,DEM,REP,GR,LIB,OTH,,2437,42.14,37.92,0.12,0.98,18.83,0.0
PENN,1568,2146,1,19,722,0,DEM,REP,GR,LIB,OTH,,4456,35.19,48.16,0.02,0.43,16.2,0.0
PENNSBURY,1442,1291,3,19,599,0,DEM,REP,GR,LIB,OTH,,3354,42.99,38.49,0.09,0.57,17.86,0.0
PHOENIXVILLE,6934,3708,27,92,2568,0,DEM,REP,GR,LIB,OTH,,13329,52.02,27.82,0.2,0.69,19.27,0.0
POCOPSON,1170,1269,4,8,580,0,DEM,REP,GR,LIB,OTH,,3031,38.6,41.87,0.13,0.26,19.14,0.0
SADSBURY,1306,1311,2,15,575,0,DEM,REP,GR,LIB,OTH,,3209,40.7,40.85,0.06,0.47,17.92,0.0
SCHUYLKILL,2778,2830,10,28,1269,0,DEM,REP,GR,LIB,OTH,,6915,40.17,40.93,0.14,0.4,18.35,0.0
SOUTH COATESVILLE,627,182,0,4,173,0,DEM,REP,GR,LIB,OTH,,986,63.59,18.46,0.0,0.41,17.55,0.0
SOUTH COVENTRY,751,912,8,9,357,0,DEM,REP,GR,LIB,OTH,,2037,36.87,44.77,0.39,0.44,17.53,0.0
SPRING CITY,1068,864,5,17,467,0,DEM,REP,GR,LIB,OTH,,2421,44.11,35.69,0.21,0.7,19.29,0.0
THORNBURY,964,1260,3,9,503,0,DEM,REP,GR,LIB,OTH,,2739,35.2,46.0,0.11,0.33,18.36,0.0
TREDYFFRIN,10948,8166,37,103,5084,0,DEM,REP,GR,LIB,OTH,,24338,44.98,33.55,0.15,0.42,20.89,0.0
UPPER OXFORD,457,911,0,11,239,0,DEM,REP,GR,LIB,OTH,,1618,28.24,56.3,0.0,0.68,14.77,0.0
UPPER UWCHLAN,3671,3556,11,31,2165,0,DEM,REP,GR,LIB,OTH,,9434,38.91,37.69,0.12,0.33,22.95,0.0
UWCHLAN,6307,5461,14,53,2859,0,DEM,REP,GR,LIB,OTH,,14694,42.92,37.16,0.1,0.36,19.46,0.0
VALLEY,2907,1794,6,29,918,0,DEM,REP,GR,LIB,OTH,,5654,51.41,31.73,0.11,0.51,16.24,0.0
WALLACE,857,1475,3,15,511,0,DEM,REP,GR,LIB,OTH,,2861,29.95,51.56,0.1,0.52,17.86,0.0
WARWICK,695,1037,2,14,345,0,DEM,REP,GR,LIB,OTH,,2093,33.21,49.55,0.1,0.67,16.48,0.0
WEST BRADFORD,4244,4306,14,70,2070,0,DEM,REP,GR,LIB,OTH,,10704,39.65,40.23,0.13,0.65,19.34,0.0
WEST BRANDYWINE,2022,2958,10,33,1068,0,DEM,REP,GR,LIB,OTH,,6091,33.2,48.56,0.16,0.54,17.53,0.0
WEST CALN,1908,3207,4,40,1008,0,DEM,REP,GR,LIB,OTH,,6167,30.94,52.0,0.06,0.65,16.35,0.0
WEST CHESTER,6134,2945,20,84,2202,0,DEM,REP,GR,LIB,OTH,,11385,53.88,25.87,0.18,0.74,19.34,0.0
WEST FALLOWFIELD,393,858,1,16,213,0,DEM,REP,GR,LIB,OTH,,1481,26.54,57.93,0.07,1.08,14.38,0.0
WEST GOSHEN,7188,7401,30,92,3115,0,DEM,REP,GR,LIB,OTH,,17826,40.32,41.52,0.17,0.52,17.47,0.0
WEST GROVE,651,498,0,9,269,0,DEM,REP,GR,LIB,OTH,,1427,45.62,34.9,0.0,0.63,18.85,0.0
WEST MARLBOROUGH,260,275,1,4,97,0,DEM,REP,GR,LIB,OTH,,637,40.82,43.17,0.16,0.63,15.23,0.0
WEST NANTMEAL,436,948,1,14,259,0,DEM,REP,GR,LIB,OTH,,1658,26.3,57.18,0.06,0.84,15.62,0.0
WEST NOTTINGHAM,427,1049,3,13,312,0,DEM,REP,GR,LIB,OTH,,1804,23.67,58.15,0.17,0.72,17.29,0.0
WEST PIKELAND,1259,1559,2,17,634,0,DEM,REP,GR,LIB,OTH,,3471,36.27,44.92,0.06,0.49,18.27,0.0
WEST SADSBURY,337,888,0,12,187,0,DEM,REP,GR,LIB,OTH,,1424,23.67,62.36,0.0,0.84,13.13,0.0
WEST VINCENT,1993,2225,7,25,931,0,DEM,REP,GR,LIB,OTH,,5181,38.47,42.95,0.14,0.48,17.97,0.0
WEST WHITELAND,6860,5338,18,94,3192,0,DEM,REP,GR,LIB,OTH,,15502,44.25,34.43,0.12,0.61,20.59,0.0
WESTTOWN,3204,4049,8,35,1417,0,DEM,REP,GR,LIB,OTH,,8713,36.77,46.47,0.09,0.4,16.26,0.0
WILLISTOWN,3682,4278,13,46,1662,0,DEM,REP,GR,LIB,OTH,,9681,38.03,44.19,0.13,0.48,17.17,0.0
