municipality_name,Party_1_Count,Party_2_Count,Party_3_Count,Party_4_Count,Party_5_Count,Party_6_Count,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6,Total,Party_1_Percentage,Party_2_Percentage,Party_3_Percentage,Party_4_Percentage,Party_5_Percentage,Party_6_Percentage
ATGLEN,325,439,1,7,143,0,DEM,REP,GR,LIB,OTH,,915,35.52,47.98,0.11,0.77,15.63,0.0
AVONDALE,250,122,1,5,109,0,DEM,REP,GR,LIB,OTH,,487,51.33,25.05,0.21,1.03,22.38,0.0
BIRMINGHAM,1275,1557,3,22,699,0,DEM,REP,GR,LIB,OTH,,3556,35.85,43.79,0.08,0.62,19.66,0.0
CALN,5069,3447,19,58,1875,0,DEM,REP,GR,LIB,OTH,,10468,48.42,32.93,0.18,0.55,17.91,0.0
CHARLESTOWN,1930,1903,4,31,953,0,DEM,REP,GR,LIB,OTH,,4821,40.03,39.47,0.08,0.64,19.77,0.0
COATESVILLE,4855,1051,15,32,1245,0,DEM,REP,GR,LIB,OTH,,7198,67.45,14.6,0.21,0.44,17.3,0.0
DOWNINGTOWN,2786,1780,10,37,1018,0,DEM,REP,GR,LIB,OTH,,5631,49.48,31.61,0.18,0.66,18.08,0.0
EAST BRADFORD,3231,3532,5,30,1311,0,DEM,REP,GR,LIB,OTH,,8109,39.84,43.56,0.06,0.37,16.17,0.0
EAST BRANDYWINE,2728,3077,8,44,1387,0,DEM,REP,GR,LIB,OTH,,7244,37.66,42.48,0.11,0.61,19.15,0.0
EAST CALN,1658,1164,0,21,792,0,DEM,REP,GR,LIB,OTH,,3635,45.61,32.02,0.0,0.58,21.79,0.0
EAST COVENTRY,1908,2379,8,39,878,0,DEM,REP,GR,LIB,OTH,,5212,36.61,45.64,0.15,0.75,16.85,0.0
EAST FALLOWFIELD,2538,2246,13,45,1050,0,DEM,REP,GR,LIB,OTH,,5892,43.08,38.12,0.22,0.76,17.82,0.0
EAST GOSHEN,5618,7015,17,58,2322,0,DEM,REP,GR,LIB,OTH,,15030,37.38,46.67,0.11,0.39,15.45,0.0
EAST MARLBOROUGH,2583,2691,10,28,1270,0,DEM,REP,GR,LIB,OTH,,6582,39.24,40.88,0.15,0.43,19.3,0.0
EAST NANTMEAL,512,757,2,10,210,0,DEM,REP,GR,LIB,OTH,,1491,34.34,50.77,0.13,0.67,14.08,0.0
EAST NOTTINGHAM,1764,3162,5,38,1147,0,DEM,REP,GR,LIB,OTH,,6116,28.84,51.7,0.08,0.62,18.75,0.0
EAST PIKELAND,2873,2543,8,43,1210,0,DEM,REP,GR,LIB,OTH,,6677,43.03,38.09,0.12,0.64,18.12,0.0
EAST VINCENT,2071,2422,4,25,923,0,DEM,REP,GR,LIB,OTH,,5445,38.03,44.48,0.07,0.46,16.95,0.0
EAST WHITELAND,4180,3112,24,42,1966,0,DEM,REP,GR,LIB,OTH,,9324,44.83,33.38,0.26,0.45,21.09,0.0
EASTTOWN,3735,3494,5,41,1718,0,DEM,REP,GR,LIB,OTH,,8993,41.53,38.85,0.06,0.46,19.1,0.0
ELK,401,638,0,10,226,0,DEM,REP,GR,LIB,OTH,,1275,31.45,50.04,0.0,0.78,17.73,0.0
ELVERSON,314,679,1,12,145,0,DEM,REP,GR,LIB,OTH,,1151,27.28,58.99,0.09,1.04,12.6,0.0
FRANKLIN,1222,1638,4,15,719,0,DEM,REP,GR,LIB,OTH,,3598,33.96,45.53,0.11,0.42,19.98,0.0
HIGHLAND,217,454,0,7,140,0,DEM,REP,GR,LIB,OTH,,818,26.53,55.5,0.0,0.86,17.11,0.0
HONEY BROOK,1682,3587,6,46,1101,0,DEM,REP,GR,LIB,OTH,,6422,26.19,55.85,0.09,0.72,17.14,0.0
KENNETT,3039,2714,6,37,1270,0,DEM,REP,GR,LIB,OTH,,7066,43.01,38.41,0.08,0.52,17.97,0.0
KENNETT SQUARE,1761,927,4,12,604,0,DEM,REP,GR,LIB,OTH,,3308,53.23,28.02,0.12,0.36,18.26,0.0
LONDON BRITAIN,1034,1083,1,17,503,0,DEM,REP,GR,LIB,OTH,,2638,39.2,41.05,0.04,0.64,19.07,0.0
LONDON GROVE,2202,2656,5,28,1123,0,DEM,REP,GR,LIB,OTH,,6014,36.61,44.16,0.08,0.47,18.67,0.0
LONDONDERRY,625,1049,2,8,312,0,DEM,REP,GR,LIB,OTH,,1996,31.31,52.56,0.1,0.4,15.63,0.0
LOWER OXFORD,2743,1214,4,14,822,0,DEM,REP,GR,LIB,OTH,,4797,57.18,25.31,0.08,0.29,17.14,0.0
MALVERN,1217,1038,3,8,468,0,DEM,REP,GR,LIB,OTH,,2734,44.51,37.97,0.11,0.29,17.12,0.0
MODENA,126,59,0,0,36,0,DEM,REP,GR,LIB,OTH,,221,57.01,26.7,0.0,0.0,16.29,0.0
NEW GARDEN,2986,3010,11,38,1552,0,DEM,REP,GR,LIB,OTH,,7597,39.3,39.62,0.14,0.5,20.43,0.0
