municipality_name,Party_1_Count,Party_2_Count,Party_3_Count,Party_4_Count,Party_5_Count,Party_6_Count,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6,Total,Party_1_Percentage,Party_2_Percentage,Party_3_Percentage,Party_4_Percentage,Party_5_Percentage,Party_6_Percentage
ROBESONIA,507,729,4,18,230,0,DEM,REP,GR,LIB,OTH,,1488,34.07,48.99,0.27,1.21,15.46,0.0
ROCKLAND,806,1519,5,20,381,0,DEM,REP,GR,LIB,OTH,,2731,29.51,55.62,0.18,0.73,13.95,0.0
RUSCOMBMANOR,809,1723,3,11,421,0,DEM,REP,GR,LIB,OTH,,2967,27.27,58.07,0.1,0.37,14.19,0.0
SHILLINGTON,1724,1347,5,32,738,0,DEM,REP,GR,LIB,OTH,,3846,44.83,35.02,0.13,0.83,19.19,0.0
SHOEMAKERSVILLE,267,476,2,6,147,0,DEM,REP,GR,LIB,OTH,,898,29.73,53.01,0.22,0.67,16.37,0.0
SINKING SPRING,1232,1117,6,17,445,0,DEM,REP,GR,LIB,OTH,,2817,43.73,39.65,0.21,0.6,15.8,0.0
SOUTH HEIDELBERG,1836,2793,10,36,759,0,DEM,REP,GR,LIB,OTH,,5434,33.79,51.4,0.18,0.66,13.97,0.0
SPRING,8309,8444,22,112,3247,0,DEM,REP,GR,LIB,OTH,,20134,41.27,41.94,0.11,0.56,16.13,0.0
ST. LAWRENCE,566,513,2,13,220,0,DEM,REP,GR,LIB,OTH,,1314,43.07,39.04,0.15,0.99,16.74,0.0
TILDEN,597,1387,1,14,333,0,DEM,REP,GR,LIB,OTH,,2332,25.6,59.48,0.04,0.6,14.28,0.0
TOPTON,509,630,1,11,227,0,DEM,REP,GR,LIB,OTH,,1378,36.94,45.72,0.07,0.8,16.47,0.0
TULPEHOCKEN,294,1180,4,7,205,0,DEM,REP,GR,LIB,OTH,,1690,17.4,69.82,0.24,0.41,12.13,0.0
UNION,936,1446,2,22,496,0,DEM,REP,GR,LIB,OTH,,2902,32.25,49.83,0.07,0.76,17.09,0.0
UPPER BERN,267,798,1,8,139,0,DEM,REP,GR,LIB,OTH,,1213,22.01,65.79,0.08,0.66,11.46,0.0
UPPER TULPEHOCKEN,258,758,0,10,150,0,DEM,REP,GR,LIB,OTH,,1176,21.94,64.46,0.0,0.85,12.76,0.0
WASHINGTON,957,1945,6,21,514,0,DEM,REP,GR,LIB,OTH,,3443,27.8,56.49,0.17,0.61,14.93,0.0
WERNERSVILLE,811,927,4,13,318,0,DEM,REP,GR,LIB,OTH,,2073,39.12,44.72,0.19,0.63,15.34,0.0
WEST READING,1583,764,9,24,558,0,DEM,REP,GR,LIB,OTH,,2938,53.88,26.0,0.31,0.82,18.99,0.0
WINDSOR,456,1143,3,12,249,0,DEM,REP,GR,LIB,OTH,,1863,24.48,61.35,0.16,0.64,13.37,0.0
WOMELSDORF,711,919,3,14,309,0,DEM,REP,GR,LIB,OTH,,1956,36.35,46.98,0.15,0.72,15.8,0.0
WYOMISSING,3655,3694,13,42,1259,0,DEM,REP,GR,LIB,OTH,,8663,42.19,42.64,0.15,0.48,14.53,0.0
