municipality_name,Party_1_Count,Party_2_Count,Party_3_Count,Party_4_Count,Party_5_Count,Party_6_Count,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6,Total,Party_1_Percentage,Party_2_Percentage,Party_3_Percentage,Party_4_Percentage,Party_5_Percentage,Party_6_Percentage
EAST CARROLL,372,633,0,4,112,0,DEM,REP,GR,LIB,OTH,,1121,33.18,56.47,0.0,0.36,9.99,0.0
CLEARFIELD,317,679,0,6,99,0,DEM,REP,GR,LIB,OTH,,1101,28.79,61.67,0.0,0.54,8.99,0.0
FERNDALE,369,511,3,6,127,0,DEM,REP,GR,LIB,OTH,,1016,36.32,50.3,0.3,0.59,12.5,0.0
READE,182,616,1,2,102,0,DEM,REP,GR,LIB,OTH,,903,20.16,68.22,0.11,0.22,11.3,0.0
WEST CARROLL,266,434,1,8,90,0,DEM,REP,GR,LIB,OTH,,799,33.29,54.32,0.13,1.0,11.26,0.0
HASTINGS,277,392,0,7,105,0,DEM,REP,GR,LIB,OTH,,781,35.47,50.19,0.0,0.9,13.44,0.0
CARROLLTOWN,281,401,0,2,71,0,DEM,REP,GR,LIB,OTH,,755,37.22,53.11,0.0,0.26,9.4,0.0
WHITE,169,435,0,3,82,0,DEM,REP,GR,LIB,OTH,,689,24.53,63.13,0.0,0.44,11.9,0.0
WASHINGTON,214,386,1,1,59,0,DEM,REP,GR,LIB,OTH,,661,32.38,58.4,0.15,0.15,8.93,0.0
ELDER,225,322,0,4,43,0,DEM,REP,GR,LIB,OTH,,594,37.88,54.21,0.0,0.67,7.24,0.0
DALE,233,262,1,2,86,0,DEM,REP,GR,LIB,OTH,,584,39.9,44.86,0.17,0.34,14.73,0.0
LILLY,209,314,0,1,59,0,DEM,REP,GR,LIB,OTH,,583,35.85,53.86,0.0,0.17,10.12,0.0
SOUTH FORK,189,306,1,2,80,0,DEM,REP,GR,LIB,OTH,,578,32.7,52.94,0.17,0.35,13.84,0.0
EAST CONEMAUGH,257,241,0,3,77,0,DEM,REP,GR,LIB,OTH,,578,44.46,41.7,0.0,0.52,13.32,0.0
WEST TAYLOR,190,271,0,3,60,0,DEM,REP,GR,LIB,OTH,,524,36.26,51.72,0.0,0.57,11.45,0.0
MIDDLE TAYLOR,163,300,0,0,41,0,DEM,REP,GR,LIB,OTH,,504,32.34,59.52,0.0,0.0,8.13,0.0
MUNSTER,121,306,0,0,36,0,DEM,REP,GR,LIB,OTH,,463,26.13,66.09,0.0,0.0,7.78,0.0
BROWNSTOWN,210,211,0,1,37,0,DEM,REP,GR,LIB,OTH,,459,45.75,45.97,0.0,0.22,8.06,0.0
SCALP LEVEL,164,226,0,3,50,0,DEM,REP,GR,LIB,OTH,,443,37.02,51.02,0.0,0.68,11.29,0.0
LORAIN,152,197,1,2,55,0,DEM,REP,GR,LIB,OTH,,407,37.35,48.4,0.25,0.49,13.51,0.0
SANKERTOWN,136,207,0,0,50,0,DEM,REP,GR,LIB,OTH,,393,34.61,52.67,0.0,0.0,12.72,0.0
CHEST,84,215,0,1,38,0,DEM,REP,GR,LIB,OTH,,338,24.85,63.61,0.0,0.3,11.24,0.0
LORETTO,96,158,0,1,71,0,DEM,REP,GR,LIB,OTH,,326,29.45,48.47,0.0,0.31,21.78,0.0
DEAN,78,168,0,1,33,0,DEM,REP,GR,LIB,OTH,,280,27.86,60.0,0.0,0.36,11.79,0.0
VINTONDALE,81,168,0,1,23,0,DEM,REP,GR,LIB,OTH,,273,29.67,61.54,0.0,0.37,8.42,0.0
DAISYTOWN,89,103,0,2,20,0,DEM,REP,GR,LIB,OTH,,214,41.59,48.13,0.0,0.93,9.35,0.0
FRANKLIN,102,61,0,1,14,0,DEM,REP,GR,LIB,OTH,,178,57.3,34.27,0.0,0.56,7.87,0.0
ASHVILLE,48,80,0,2,28,0,DEM,REP,GR,LIB,OTH,,158,30.38,50.63,0.0,1.27,17.72,0.0
TUNNELHILL,44,96,0,0,12,0,DEM,REP,GR,LIB,OTH,,152,28.95,63.16,0.0,0.0,7.89,0.0
WILMORE,42,83,0,1,16,0,DEM,REP,GR,LIB,OTH,,142,29.58,58.45,0.0,0.7,11.27,0.0
EHRENFELD,43,66,0,0,14,0,DEM,REP,GR,LIB,OTH,,123,34.96,53.66,0.0,0.0,11.38,0.0
CHEST SPRINGS,33,65,0,0,11,0,DEM,REP,GR,LIB,OTH,,109,30.28,59.63,0.0,0.0,10.09,0.0
CASSANDRA,29,59,0,1,7,0,DEM,REP,GR,LIB,OTH,,96,30.21,61.46,0.0,1.04,7.29,0.0
