municipality_name,Party_1_Count,Party_2_Count,Party_3_Count,Party_4_Count,Party_5_Count,Party_6_Count,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6,Total,Party_1_Percentage,Party_2_Percentage,Party_3_Percentage,Party_4_Percentage,Party_5_Percentage,Party_6_Percentage
JOHNSTOWN,5444,3463,15,52,1500,0,DEM,REP,GR,LIB,OTH,,10474,51.98,33.06,0.14,0.5,14.32,0.0
RICHLAND,2606,4854,5,27,809,0,DEM,REP,GR,LIB,OTH,,8301,31.39,58.47,0.06,0.33,9.75,0.0
ADAMS,1269,2514,2,18,363,0,DEM,REP,GR,LIB,OTH,,4166,30.46,60.35,0.05,0.43,8.71,0.0
WESTMONT,1474,2114,8,15,428,0,DEM,REP,GR,LIB,OTH,,4039,36.49,52.34,0.2,0.37,10.6,0.0
CAMBRIA,1320,2148,4,8,364,0,DEM,REP,GR,LIB,OTH,,3844,34.34,55.88,0.1,0.21,9.47,0.0
PORTAGE,1339,2043,2,14,358,0,DEM,REP,GR,LIB,OTH,,3756,35.65,54.39,0.05,0.37,9.53,0.0
UPPER YODER,1244,1883,4,15,346,0,DEM,REP,GR,LIB,OTH,,3492,35.62,53.92,0.11,0.43,9.91,0.0
JACKSON,883,1804,0,8,288,0,DEM,REP,GR,LIB,OTH,,2983,29.6,60.48,0.0,0.27,9.65,0.0
CRESSON,995,1466,3,18,315,0,DEM,REP,GR,LIB,OTH,,2797,35.57,52.41,0.11,0.64,11.26,0.0
EBENSBURG,1041,1148,2,8,293,0,DEM,REP,GR,LIB,OTH,,2492,41.77,46.07,0.08,0.32,11.76,0.0
NORTHERN CAMBRIA,709,1260,1,10,251,0,DEM,REP,GR,LIB,OTH,,2231,31.78,56.48,0.04,0.45,11.25,0.0
STONYCREEK,747,1036,0,9,221,0,DEM,REP,GR,LIB,OTH,,2013,37.11,51.47,0.0,0.45,10.98,0.0
SUMMERHILL,580,1099,1,8,198,0,DEM,REP,GR,LIB,OTH,,1886,30.75,58.27,0.05,0.42,10.5,0.0
GALLITZIN,554,1098,3,9,214,0,DEM,REP,GR,LIB,OTH,,1878,29.5,58.47,0.16,0.48,11.4,0.0
GEISTOWN,623,952,2,7,197,0,DEM,REP,GR,LIB,OTH,,1781,34.98,53.45,0.11,0.39,11.06,0.0
LOWER YODER,719,854,0,11,195,0,DEM,REP,GR,LIB,OTH,,1779,40.42,48.0,0.0,0.62,10.96,0.0
EAST TAYLOR,614,950,2,11,162,0,DEM,REP,GR,LIB,OTH,,1739,35.31,54.63,0.12,0.63,9.32,0.0
CROYLE,471,1029,2,3,136,0,DEM,REP,GR,LIB,OTH,,1641,28.7,62.71,0.12,0.18,8.29,0.0
SOUTHMONT,608,760,1,6,204,0,DEM,REP,GR,LIB,OTH,,1579,38.51,48.13,0.06,0.38,12.92,0.0
NANTY GLO,588,789,0,6,158,0,DEM,REP,GR,LIB,OTH,,1541,38.16,51.2,0.0,0.39,10.25,0.0
CONEMAUGH,476,841,1,10,99,0,DEM,REP,GR,LIB,OTH,,1427,33.36,58.93,0.07,0.7,6.94,0.0
BARR,328,968,1,3,95,0,DEM,REP,GR,LIB,OTH,,1395,23.51,69.39,0.07,0.22,6.81,0.0
BLACKLICK,426,746,0,6,130,0,DEM,REP,GR,LIB,OTH,,1308,32.57,57.03,0.0,0.46,9.94,0.0
SUSQUEHANNA,363,760,1,4,122,0,DEM,REP,GR,LIB,OTH,,1250,29.04,60.8,0.08,0.32,9.76,0.0
ALLEGHENY,354,750,1,3,108,0,DEM,REP,GR,LIB,OTH,,1216,29.11,61.68,0.08,0.25,8.88,0.0
PATTON,472,569,1,7,126,0,DEM,REP,GR,LIB,OTH,,1175,40.17,48.43,0.09,0.6,10.72,0.0
